question,golden_answer,context,our_answer_wo_context,our_answer_w_context
"Goitre, or enlarged thyroid gland, is caused by a deficiency of which trace element in the human body?","Iodine; ATC code D08AG03; Iodine facts; Iodinated; Iodine antenatal infection; Source of iodine; Element 53; Iodine sources; Iodine toxicity; IODINE; Diiodine; Iodine compounds; ATCvet code QD08AG03; Prolamine iodine; Hydrocarbons, iodinated","Goitre A goitre, or goiter, is a swelling in the neck resulting from an enlarged thyroid gland. A goitre is associated with a thyroid that is not functioning properly. Worldwide, over 90% of goitre cases are caused by iodine deficiency. The term is from the Latin ""gutturia"", meaning throat. Most goitres are of a benign nature. A goitre, associated with hypothyroidism or hyperthyroidism, may be present with symptoms of the underlying disorder. For hyperthyroidism, the most common symptoms are associated with adrenergic stimulation: tachycardia (increased heart rate), palpitations, nervousness, tremor, increased blood pressure and heat intolerance. Clinical manifestations are often",Iodine.,Iodine.
"Kelvinhall, Cowcaddens and Kinning Park are all underground stations in which European city?","The West End of Glasgow, Glasgow, United Kingdom; Glasgo; Glasgow City (council area); Glasgow; The weather in Glasgow; Glasgae; Glesga; West End of Glasgow; Glasgow (district); City of Glasgow, Scotland; Glasgow West End; East End, Glasgow; UN/LOCODE:GBGLW; City of Glasgow; East Glasgow; City of Glasgow (council area); Glasgow, Scotland; Glasgow (Scotland); Glasgow, Lanarkshire; Glesgae; West Glasgow; Glasgow, UK; North Glasgow; Cathures; Glesca; Glaswegians; City of Glasgow (local government district, Strathclyde region); East End of Glasgow; South Side, Glasgow; Glasweigan; Glasgow City; South Glasgow; Glasgow’s West End; South East Glasgow; Glasgow, United Kingdom; Glaschu","Kinning Park is now a district in Glasgow situated on the south bank of the Clyde about west of the city centre between Tradeston and Ibrox/Govan. It is served by Kinning Park subway station which is the closest to the surface of all the stations on the 15 station circle. Nowadays the district is home to many small industrial units, and until 2009 was home to the Scottish versions of News International's UK newspaper titles. The headquarters of BBC Scotland and Scottish Television were relocated to Pacific Quay over a period between 2004 and 2008, just to the west of","Glasgow, Scotland.",Glasgow.
"The long-standing currency of Kenya, Uganda, and Tanzania (at early 2000s) is the?",Shillings; Chelin; /-; Shilling; Szeląg (coin),"East African Currency Board The East African Currency Board (EACB) supplied and oversaw the currency of British colonies in British East Africa from 1919 to 1966. It was established after Britain took control of mainland Tanzania from Germany at the end of World War I, and originally oversaw the territories of Uganda, Kenya, and Tanzania (excluding Zanzibar). Zanzibar joined the currency area in 1936. For most of its existence, the EACB's main function was to maintain the local shilling at par with the shilling in the United Kingdom. This was done by ensuring that the local currency was adequately backed",East African shilling,The local shilling.
"Which German City was once head of the Hanseatic League, and is known for its marzipan?","Lubsch; Lübeck-Herrenwyk; Lübeck, Germany; LUBECK; Luebeck-Herrenwyk; Hanseatic City of Lübeck; Luebsch; Luebeck-Siems; Lübeck UNRRA displaced persons camp; Herrenwyk; Lűbeck; Lübeck Port; Lübeck; Siems; Lubeck; Free and Hanseatic City of Lubeck; Lubeck-Herrenwyk; UN/LOCODE:DELBC; Lübsch; Luebeck UNRRA displaced persons camp; Luebeck; Lubeck UNRRA displaced persons camp; Lübeck-Siems; The Hanseatic City of Lübeck; Free and Hanseatic City of Luebeck; Lubeck-Siems","believed to have been introduced to Eastern Europe through the Turks (""badem ezmesi"" in Turkish, and most notably produced in Edirne), there is some dispute between Hungary and Italy over its origin. In Sicily it was (1193) known as ""panis martius"" or ""marzapane"", ""i.e."", March Bread. Marzipan became a specialty of the Hanseatic League port towns. In particular, the cities of Lübeck and Tallinn have a proud tradition of marzipan manufacture. Examples include Lübecker Marzipan (""PGI""). The city's manufacturers like Niederegger still guarantee their marzipan to contain two-thirds almonds by weight, which results in a product of highest quality. Historically,",Lübeck,Lübeck.
"""What was the name of the store in """"Are You Being Served?""""?""",Grace Bros; Grace bros; Grace Brothers; Grace Bros.,"Are You Being Served? Are You Being Served? is a British sitcom created and written by executive producer David Croft (Croft also directed some episodes), and Jeremy Lloyd with contributions from Michael Knowles and John Chapman, for the BBC. Set in London, the show follows the misadventures and mishaps of the staff of the retail ladies' and gentlemen's clothing departments in the flagship department store of a fictional chain called Grace Brothers. The series was broadcast on the BBC for ten series, totalling 69 episodes between 8 November 1972 and 1 April 1985 – and included 5 Christmas specials. There",Grundys,Grace Brothers.
"Which British driver has 31 Formula One victories, the most by a Briton?","Nigel Mansell; Mansell, Nigel Ernest James; Nigel mansell; Nigel Ernest James Mansell; Our Nige; Nigel Mansel","won the season he was disillusioned with the sport, having seen Ferrari teammate Peter Collins die in an accident at Nürburgring. Hawthorn had been reluctant to complete the season and quit Formula One immediately after the final race. Just a few months later, in January 1959, Hawthorn died when his speeding Jaguar skidded off a wet road. Nigel Mansell has won 31 Grands Prix, placing him seventh in the overall race winners' list and making him, by that measure, the second most successful British driver after Lewis Hamilton. He also holds the record for the most races completed in his",Lewis Hamilton,Nigel Mansell.
"""Which word completes the title of a Tony Hawks book: """"Round Ireland With A ....""""?""","""""""FRIDGE""""""; The Fridge; Electric Brixton; The fridge; Escape from Samsara","station as Tony and all those he encountered become aware of the power and philosophy of the fridge. The film was shot in London, West Wales, the Surrey Hills and Ireland in 2009. The producers were Tony Hawks, Simon Sharkey and Greg Macmanus, the cinematographer was John Sorapure and the film editor was Mark Wybourn. The film premiered at the Cambridge Film Festival and was released on DVD on 8 November 2010. Tony and the fridge were presented with a certificate by the Guinness World of Records that formally recognised their endeavour's world record status for the furthest distance hitchhiked",Hawk.,A dog.
"In his eponymous TV show, which comedian and actor played obstetrician Cliff Huxtable?","Bill Cosby sexual assault accusations; William H. Cosby, Jr; Bill Cosby molestation allegations; William H. Cosby, Jr.; Bill Cosby rape accusations; Bill Cosby, Jr.; Bill Cosby; Cosby, Bill; Cos (television series); Bill Cosby rape allegations; William H. Cosby; Hello Friend/Ennis Cosby Foundation; Ennis William Cosby; Political views of Bill Cosby; We Can't Blame White People; Mikhail markhasev; Bill cosby; William Henry %22Bill%22 Cosby, Jr.; Bill Cosby molestation accusations","Cliff Huxtable Dr. Heathcliff ""Cliff"" Huxtable is a fictional character on the NBC sitcom, ""The Cosby Show"". He was portrayed by Bill Cosby. Cosby originally proposed that the couple should both have blue-collar jobs, with the father a limousine driver, who owned his own car, and the mother an electrician but, with advice from his wife, Camille Cosby, the concept was changed so that the family was well-off financially, with the mother a lawyer and the father a doctor. Dr. Heathcliff ""Cliff"" Huxtable is known for his comical antics, playful admonishments, and relentless teasing humor. He lives in Brooklyn Heights,",Bill Cosby,Bill Cosby.
The French horse race called the Prix de l'Arc de Triomphe is run at which race course?,Longchamps; Longchamp; Longchamp (disambiguation),"Prix de l'Arc de Triomphe The Prix de l'Arc de Triomphe is a Group 1 flat horse race in France open to thoroughbreds aged three years or older. It is run at Longchamp over a distance of 2,400 metres (about 1½ miles), and it is scheduled to take place each year, usually on the first Sunday in October. Popularly referred to as the ""Arc"", it is Europe's most prestigious horse race. Its roll of honour features many highly acclaimed horses, and its winners are often subsequently regarded as champions. It is currently the world's second richest turf race (behind The",Longchamp.,Longchamp.
The rock musical ‘Rent’ is based on which opera by Giacomo Puccini?,Schaunard; La Bohéme; A bohemian life; Mimì (La bohème); Bohemian Life; Boheme; La boheme; The bohemians; La Bohême; La Boheme; La Bohème; La bohème; Bohéme; Che Gelida Manina; O Soave Fanciulla; Rodolfo and Mimi; Che gelida manina,"Giacomo Puccini Giacomo Antonio Domenico Michele Secondo Maria Puccini (; 22 December 1858 29 November 1924) was an Italian opera composer who has been called ""the greatest composer of Italian opera after Verdi"". Puccini's early work was rooted in traditional late-19th-century romantic Italian opera. Later, he successfully developed his work in the realistic ""verismo"" style, of which he became one of the leading exponents. Puccini's most renowned works are ""La bohème"" (1896), ""Tosca"" (1900), ""Madama Butterfly"" (1904), and ""Turandot"" (1924), all of which are among the important operas played as standards. Puccini was born Giacomo Antonio Domenico Michele Secondo Maria",La Bohème,I do not know.
Which artist’s works include 32 Campbell’s soup cans?,Andy Warhaul; Warhol; (Andy) Warhol; Warholian Pop; Andy Warhola; Andrew warhola; Andy Warhol Foundation for the Visual Arts; Warholite; Andy warhol; Drella; Andrew Warhol; Andy Wahrol; Andy worhol; Andrew Warhola; Andy Warhol Foundation; Warholesque; Warholian; Warhol Foundation; Andy Warhol; Paul Warhola,"Campbell's Soup Cans Campbell's Soup Cans, which is sometimes referred to as 32 Campbell's Soup Cans, is a work of art produced in 1962 by Andy Warhol. It consists of thirty-two canvases, each measuring in height × in width and each consisting of a painting of a Campbell's Soup can—one of each of the canned soup varieties the company offered at the time. The individual paintings were produced by a printmaking method—the semi-mechanized screen printing process, using a non-painterly style. ""Campbell's Soup Cans""' reliance on themes from popular culture helped to usher in pop art as a major art movement",Andy Warhol,Andy Warhol.
What is the name of a butterfly and a punctuation mark?,"、; ،; Comma (typography); ︑; ︐; ̓; Coordinate adjectives; Comma (diacritic); Dun comma; ,; Enumeration comma; COMMA; ，; ﹑; ﹐; Comma below; ､; Commas; Comma (punctuation); Ideographic comma; U+002C; Comma; Greek comma","thought. A chapter of the book is written solely by his daughter, Hana, where she recounts an experience with her father, and goes on to reflect upon what she means to him and what she has learned from him. A review in ""The New York Times"" describes the book as ""an elliptical, collagelike memoir that offered a philosophical look back at his life."" The Soul of a Butterfly The Soul of a Butterfly is the autobiography of Muhammad Ali, born Cassius Marcellus Clay Jr., a former heavyweight boxer who was a three time World Heavyweight Champion and is considered by",Comma and Monarch.,The Soul of a Butterfly
Which aristocratic title derives its name from the Anglo-Saxon term for ‘warrior’?,Earl; Earldoms; Jarldom; Earldom; Jarl (title); Earls,"diminishing importance of their minster churches which (under the ""minster hypothesis"") had been the basis of early Christian church organisation. The concept has been criticised - for example because the evidence used is often much later than the date of the proposed estate. Nonetheless, the concept is widely used and a large number of possible examples have been proposed. Anglo-Saxon multiple estate An Anglo-Saxon multiple estate was a large landholding controlled from a central location with surrounding subsidiary settlements. These estates were present in the early Anglo-Saxon period, but fragmented into smaller units in the late Anglo-Saxon period. Despite some",Earl.,I do not know.
"In humans, the deficiency of which vitamin causes pellagra?",B.III; B III; B3 (disambiguation); B.3; B 3; B-3; B03; B3 road; B3,"of symptoms includes: J. Frostig and Tom Spies (acc. to Cleary and Cleary) described more specific psychological symptoms of pellagra as: Independently of clinical symptoms, blood level of tryptophan or urinary metabolites such as 2-pyridone/N-methylniacinamide ratio <2 or NAD/NADP ratio in red blood cells can diagnose pellagra. The diagnosis is confirmed by rapid improvements in symptoms after doses of niacin (250–500 mg/day) or niacin enriched food. Pellagra can develop according to several mechanisms, classically as a result of niacin (vitamin B3) deficiency, which results in decreased Nicotinamide adenine dinucleotide (NAD). Since NAD and its phosphorylated NADP form are cofactors required",Niacin (Vitamin B3),Vitamin B3 (Niacin)
Which Premiership football club's kit was designed by Bruce Oldfield in 1997?,Norwich City F. C.; Canary Call; Norwich F.C.; Norwich city; Norwich CityF.C.; Norwich city fc; Norwich FC; Norwich City FC; Norwich City F C; NorwichFC; Norwich City Soccer Club; Norwich City F.C.; Norwich City Football Club; Norwich City; Norwich City FC.; Norwich fc; Norwich City F.C,Caulfield Football Club Caulfield Football Club was an Australian rules football club which played in the VFA from 1965 until 1987 when due to financial difficulties the club folded. The Camden Town Football Club was based in the South Caulfield area and had been in existence from at least 1898. In 1910 they entered a side in the Federal Football Association Junior competition. They won the premiership in 1911. Play was suspended for the World War I. After the war the club resumed and changed its name to South Caulfield and joined the VJFA. In 1922 the club won lower,Newcastle United,I do not know.
Who was voted Time Magazine person of the century in 1999?,"Albert Enstien; A Tribute to Einstein; ALBERT EINSTEIN; Albert Einstien; Einstein (physicist); Einsetein; Albert Einstin; Einstien; Albert Eienstein; Albert Einstein; Einstein, Albert; Albert Enstein; Einsteinian; Alber Enstien; Albert Einstein's; Einstein; Einstien, Albert; A. Einstein; Al Einstein; Albert einstein; Alber Einstein","not just granted to individuals. Pairs of people such as married couples and political opponents, classes of people, and inanimate objects have all been selected for the special year-end issue. In 1949, Winston Churchill was named ""Man of the Half-Century"", and the last issue of 1989 named Mikhail Gorbachev as ""Man of the Decade"". The December 31, 1999 issue of ""Time"" named Albert Einstein the ""Person of the Century"". Franklin D. Roosevelt and Mahatma Gandhi were chosen as runners-up. Despite the magazine's frequent statements to the contrary, the designation is often regarded as an honor, and spoken of as an",Eleanor Roosevelt,Albert Einstein.
Which company makes the Crunchie chocolate bar,Cadbury Schweppes; Cadbury Brothers; Cadbury plc; Cadbury-Schweppes; Trebor Basset; Fruity Babies; Cadbury's; Cadbury Plc; Cadbury Adams; Cadburyschweppes.com; Spring Valley Juice; Cadbury Schweppes plc; List of Cadbury NZ products; Cadbury.com; Fruitsation; Cadbury New Zealand; Cadburys; Cadbury UK; Cadbury; Trebor Bassett; Trebors; List of Cadbury New Zealand products; Cadbury Trebor Bassett; Cinn*a*Burst; Cadbury Schweppes Pty Ltd; Cadbury India; Cadbury's (Brand of yummy chocolate); Adams Confectionery; Thomas Adams Gum Company; Cadbury Railway and Wharf; Spring valley juice; Cadbury-Schweppes plc; Cadbury Global,"advertised since the 1980s with the slogan ""Get that Friday feeling"". Prior to the 1980s Crunchie was advertised as ""Crunchie makes exciting biting"". The Crunchie bar is mentioned in Enid Bagnold's 1935 novel ""National Velvet"", as the Brown sisters' sweet of choice for the year. Stuart buys Bertie a mint Crunchie bar in the 44 Scotland Street book ""The Importance Of Being Seven"" by Alexander McCall Smith. Crunchie Crunchie is a brand of chocolate bar with a honeycomb toffee (or known as sponge toffee in Canada and Cinder toffee in the UK) sugar center. It is made by Cadbury and",Cadbury,Cadbury.
Better to light a candle than curse the darkness.,"Protect the Human; Amnesty International UK; Appeal for Amnesty, 1961; International Amnesty; International Secretariat of Amnesty International; Appeal for Amnesty; Amnesty international; Amnesty.org; Amnesty International","The Return to Darkness The Return to Darkness is the third full-length album by the Indian Death metal band Demonic Resurrection. It was released on January 15, 2010 through Demonstealer Records. The band was signed to Candlelight Records for worldwide distribution. The album was released on Candlelight Records on July 12, 2010. The album has mostly received positive reviews. Critics have praised the band for improving upon their sound, stating, ""...better production, tighter songwriting, better sounding symphonic elements and overall, a much more mature sound."". Critics also praised the atmosphere of the album. Some critics felt that the album was",Quote from Helen Keller.,The quote is from a book or context unrelated to the provided text.
Who was the father of the apostles James and John who were sometimes known as the sons of thunder,Zebedee (Bible); Zebedee (New Testament); Zebedee,"disciples of John the Baptist. Jesus then called Peter, Andrew and these two sons of Zebedee to follow him. James and John are listed among the Twelve Apostles. Jesus referred to the pair as ""Boanerges"" (translated ""sons of thunder""); although their nature was calm and gentle, when their patience was pushed to its limits their anger became wild and thunderous causing them to speak out like an untamed storm. A gospel story relates how the brothers wanted to call down heavenly fire on a Samaritan town, but Jesus rebuked them. John lived for more than half a century following the",Zebedee,Zebedee.
Which Greek heroine refused to many a man unless he could beat her in a footrace?,"Marthasville, GA; Atlanta , Georgia; Atanta, GA; Atlanta ga; Atlanta, USA; Atlanta, ga; Terminus, Georgia; Atlanta, Ga; Culture of Atlanta, Georgia; Atlanta Georgia; Atlanta georgia; Atlanta,Ga; UN/LOCODE:USATL; Atlanta, Ga.; Georgia state capital; Atlanta,GA; Atlanta; Terminus, GA; The Big Peach; Atlanta, United States; Atlanta (Ga.); Atlanta, GA; Hotlanta; Atlanta,ga; Atlanta GA; Atlanta, Georgia (U.S. state); ATLANTA; City of Atlanta; Atlanta, GA.; Population of atlanta; Atlanta, Georgia, USA; The city in a forest; City in a forest; Atlanta (GA); Atlanta, Georgia; City of Atlanta, GA.; The ATL; Population of Atlanta; The A-T-L; Culture of Atlanta","of over a year. It has had several revivals, and was subsequently made into a multi-Academy Award-winning 1966 feature film and a 1988 television movie. The plot is based on the historical events leading up to the execution of Sir Thomas More, the 16th-century Chancellor of England, who refused to endorse King Henry VIII's wish to divorce his wife Catherine of Aragon, who did not bear him a son, so that he could marry Anne Boleyn, the sister of his former mistress. The play portrays More as a man of principle, envied by rivals such as Thomas Cromwell and loved",Chiron's daughter,I do not know.
South Stack is a lighthouse found on the coast of which island?,ANGELSEY,"Batag Island Lighthouse Batag Island Lighthouse is a historic lighthouse on Batag Island off the coast of the town of Laoang in the province of Northern Samar in the Philippines. The light marks the northeastern point of Samar Island and lead international ships to the entrance of the San Bernardino Strait marked by the San Bernardino Light. One of the most traveled waterways in the archipelago, together with the Capul Island Light, these stations are invaluable to vessels coming from the Pacific Ocean and entering the country through the San Bernardino Strait on its way to Manila or any other",Anglesey.,I do not know.
"Who asked of a Cayman Islander, in 1994, `Aren't most of you descended from pirates??","HRH Prince Philip; H.R.H. the Prince Philip; Prince Philip of Greece and Denmark; Duke Philip; HRH the Duke of Edinburgh; The Duke of Edinburgh; Phillip of Edinburgh; Duke Phillip; HRH The Duke of Edinburgh; Prince Philippos of Greece and Denmark and Edinburgh; Philip Duke of Edinburgh; Prince Philip, the Duke of Edinburgh; Prince philip; The Prince Philip, Duke of Edinburgh; Philip, Duke of Edinburgh; Prince Philip Duke of Edinburgh; Prince Phillip; Duke of Edinburgh Philip; Phil the Greek; HRH The Prince Philip; Prince Phil; Prince Philip, duke of Edinburgh; Philip Mountbatten; Prince Philip Mountbatten; Prince Phillip, Duke of Edinburgh; Prince Philip; Phillip Mountbatten; Philip (of the United Kingdom); Prince Philip, Duke of Endinburgh; Prince Philip, Duke of Edinburgh; The Prince Philip; Prince Philip of Greece","Scott, whose works have won national contests, as well as being the official gift to Queen Elizabeth II and Prince Phillip during the 1994 state visit. For the 2011 wedding of Prince William, the official Cayman Islands gift was crafted by Horacio Esteban, who grew up on Cayman Brac and is currently living on Grand Cayman. Charles Kirkconnell International Airport (formerly known as Gerrard Smith International Airport) serves the island. All scheduled passenger flights are operated by Cayman Airways and subsidiary Cayman Airways Express with service to and from Grand Cayman being flown with Saab 340B regional turboprops and also",Michael Palin,I do not know.
"Which group, prominent in the 1990’s, featured Chris Novoselic on bass and Dave Grohl on drums/",Nirvana (Philosophical concept); NIRVANA; Nirvana (philosophical concept); Heaven (Buddhism); Nirvana; Nirvana (concept); Nirvāna; Nirvāṇa; Nibbána; Nirvritti; Nirvaan; Nibbāna,"studio album called ""Wasting Light"", released on April 12, 2011. On December 5, 2017, Novoselic joined Foo Fighters on stage at Matthew Knight Arena in Eugene, Oregon, to play bass guitar on ""Big Me"", a song off Foo Fighters debut album ""Foo Fighters"". Ten months later, on October 6, 2018, Novoselic joined the band during an encore to play several Nirvana songs, with Dave Grohl on drums, Pat Smear on guitar, and Joan Jett filling in as their lead singer. Novoselic has had an interest in politics from high school. This included the sectarian conflict between Catholics and Protestants in",Nirvana,Nirvana
"""The modern British period of history called """"The Winter of Discontent"""" began when?""","one thousand, nine hundred and seventy-eight; 1978","to impose a surcharge was made. Prior to the ""Winter of Discontent"", the Callaghan government had sought (in 1976) an International Monetary Fund loan of £2.3bn to combat the rampant inflation at that time. Although the media reported this as a humiliation for a former imperial power working to rebuild its economy after World War II and the nadir of the post-war economic period, this in itself led to only a narrow lead for Margaret Thatcher's party in October 1978 in opinion polls. Strikes by essential services dismayed many senior ministers in the Labour government who had been close to",1973-1974,The Winter of Discontent began after the imposition of a surcharge.
Which British aircraft manufacturer built the World War Two bomber the Wellington,Vickers Company; Vickers Group; Vickers; Vickers-Armstrong Limited; Vickers Supermarine; Vickers Armstrong Ltd.; Vickers Aircraft,"bomber that was produced for the duration of the war, and of having been produced in a greater quantity than any other British-built bomber. The Wellington remained as first-line equipment when the war ended, although it had been increasingly relegated to secondary roles. The Wellington was one of two bombers named after Arthur Wellesley, 1st Duke of Wellington, the other being the Vickers Wellesley. A larger heavy bomber aircraft designed to Specification B.1/35, the Vickers Warwick, was developed in parallel with the Wellington; the two aircraft shared around 85% of their structural components. Many elements of the Wellington were also",Vickers-Armstrongs.,Vickers.
What name is given to a person who tests metals for quality?,Assayer,"was born in Florence, Italy. Contrary to popular belief, Florence Nightingale was not the first person to be given this name. The wife of Richard de Wylughby, of London, was Florence, in 1349 A later example was Florence Wrey (d.1718), wife of John Cole of the Irish County of Fermanagh (married in 1707), who was herself named after her mother, Florence Rolle, the wife of Sir Bourchier Wrey, 4th Baronet (c. 1653-1696) of Tawstock, Devon, and the daughter of Sir John Rolle (d.1706) of Stevenstone, by his wife and distant cousin Florence Rolle (1630-1705), an even earlier Florence, the daughter",Metal tester,I do not know.
Whose portrait was painted by the fictional artist Basil Hallward?,Portrait of Dorian Grey; The Picture of Dorian Gray (Chapter 16); The Picture of Dorian Gray (Chapter 13); Picture of Dorian Gray; Basil Hallward; The portrait of dorian grey; Portrait of Dorian Gray; DORIAN GRAY; The Picture of Dorian Gray (Chapter 5); Dorion gray; Picture of Dorian Grey; Sybil Vane; The Picture of Dorian Gray (Chapter 7); The Picture of Dorian Gray (Chapter 17); The Picture of Dorian Gray (Chapter 9); The picture of Dorian Grey; The Picture of Dorian Gray (Chapter 11); The Picture of Dorian Gray (Chapter 1); The Picture of Dorian Gray (Chapter 3); The Portrait of Dorian Grey; The Picture of Dorien Grey; The Portrait of Dorian Gray; Dorion grey; The Picture of Dorian Gray (chapters); The Picture of Dorian Gray (Chapter 10); Picture of dorian gray; The Picture of Dorian Gray (Chapter 12); The picture of dorian gray; The Picture of Dorian Gray (Chapter 20); Lord Henry; The Picture of Dorian Gray (Chapter 18); The Picture Of Dorian Gray; The Picture of Dorian Gray (Chapter 6); A Picture of Dorian Gray; The Picture of Dorian Gray (Chapter 8); The picture of dorian grey; Dorian Grey; Lord Henry Wotton; The Picture of Dorian Gray (Chapter 2); Dorian Gray; The Picture of Dorian Gray (Chapter 4); The Picture of Dorian Gray; The Picture of Dorian Gray (Chapter 15); The Picture of Dorian Gray (Chapter 19); The Picture of Dorian Gray (Chapter 14); The Picture of Dorian Grey,"in Oscar Wilde's ""The Picture of Dorian Gray"". Hallward painted the landscape ""Newport, Pembrokeshire"" in oil on canvas in 1937. The painting is part of the collection of the National Museum of Wales in Cardiff. In 1887 he married Adelaide Bloxham who was also a painter, illustrator and author. They had three daughters, Faith Margaret, Patience Mary and Priscilla, and two sons, Michael and Christopher. His daughter Patricia Mary Hallward (1892–1981) was also an artist and trained with her father. Like Reginald she finally settled in Merionethshire. For part of his life, Hallward lived in North Wales in Mawddach Crescent,",Oscar Wilde,Dorian Gray.
Upon which river does Leicester stand?,Soar (disambiguation); Soar; The Soar; SOAR,"Leicester–Burton upon Trent line The Leicester–Burton upon Trent line is a freight-only railway line in England linking the Midland Main Line south of to the Cross Country Route at . The line closed to passengers in the 1960s, since when various proposals have been made to reopen it. The first part of the line opened in 1832 as the Leicester and Swannington Railway, which carried the products of collieries and quarries along the route to Leicester and the River Soar. The Midland Railway took over the line in 1845 and opened an extension in 1848 from a junction west of",River Soar,The River Soar.
What name is given to the traditional dessert served in American Thanksgiving Day?,PUMPKIN PIE; World's Largest Pumpkin Pie; Pumpkin Pie; Pumpkin pie; Pumpkin spice,"friends are there, and that they have not yet eaten, his grandmother invites them all to Thanksgiving dinner, which is welcomed with cheers from everyone. After the kids leave, Snoopy and Woodstock go to the doghouse and cook up their own traditional Thanksgiving meal that includes a turkey, complete with all the trimmings. Over the end credits, the two friends each devour dessert (a large piece of pumpkin pie) then sit back with contented smiles as Woodstock pats his full stomach. The special first aired on CBS on November 20, 1973, and continued to air every year on that network",Pumpkin pie.,Pumpkin pie.
"What band performed a song about a deaf, dumb, and blind kid who played a mean pin ball?","The High Numbers; The Who studio techniques; The Who; The Who's; The Who performances; Colin Dawson; The Who: Performance; The Who Tours and Performances; The Who Concerts; High Numbers; The detours; Maximum R&B; The who (band); Who, The; The who; The Detours; The Who: In the studio; Who (band); The Who (band); The Who%3F","Kid A Kid A is the fourth studio album by the English rock band Radiohead, released on 2 October 2000 by Parlophone. After the stress of promoting Radiohead's acclaimed 1997 album ""OK Computer"", songwriter Thom Yorke envisioned a radical change in direction. The band replaced their guitar rock sound with synthesisers, drum machines, the ondes Martenot, string orchestras and brass instruments, drawing influence from electronic music, krautrock, jazz, and 20th-century classical music. They recorded ""Kid A"" with ""OK Computer"" producer Nigel Godrich in Paris, Copenhagen, Gloucestershire and their hometown Oxford, England. The sessions produced over 20 tracks, and Radiohead split",Three Dog Night,I do not know.
Which English cathedral has 'The Clock with no Face'?,"England Salisbury; Salisbury, United Kingdom; Salisbury, Wiltshire; Salisbury (city, England); Salisbury; New Sarum; Salisbury, England; Salsbury","is acknowledged to be the earliest turret clock in the United Kingdom still working in an unaltered state and in its original position. It has no face, but is attached to a bell which strikes the hour. Unlike its contemporaries, the Cotehele clock was never converted to pendulum, which makes it the oldest original verge escapement and foliot clock in the world. Other clocks with this claim, such as the Salisbury cathedral clock, were converted and later retrofitted with a verge & foliot. As the construction dates of the Salisbury and the Wells Cathedral clocks are disputed (they are most",York Minster,Cotehele.
Who had a no. 1 hit in 2005 with the song 'You 're Beautiful'?,"James bLUNT; James blunt; JAMES BLUNT; Blunty; James Blunt; James Hillier Blount; Blunt, James","How Beautiful You Are (Ayumi Hamasaki song) ""How Beautiful You Are"" is a song by Japanese musician Ayumi Hamasaki. It was released on February 8, 2012 as the leading digital single from her thirteenth studio album, ""Party Queen"". The song was used at the theme song for the Kyoko Koizumi-starring Fuji Television drama ""Saigo Kara Nibanme no Koi"". The single was the second time Hamasaki had released an official single digitally after ""Together When..."" (2007), the leading song from her album ""Guilty"". It had been three years since a song by Hamasaki had been used as a drama theme song,",James Blunt,Akeboshi
"The Equitable Life Assurance Building in New York City, built in 1870, and 130 feet (40 m) high, was the first office building to be equipped with what?",Passenger elevators,"Equitable Life Building (Manhattan) The Equitable Life Assurance Building was the headquarters of The Equitable Life Assurance Society of the United States. Construction was completed on May 1, 1870, at 120 Broadway in Manhattan, New York City, and under the leadership of Henry Baldwin Hyde was the first office building to feature passenger elevators. At a record , it is considered by some as the world's first skyscraper. The architects were Arthur Gilman and Edward H. Kendall, with George B. Post as a consulting engineer; hydraulic elevators made by the Elisha Otis company. The building, described as fireproof, was destroyed",Elevator system,passenger elevators
What radio station do you find at 97.3 on your local FM dial?,KIRO-FM; KBSG-FM,"On the Ride (You Do It Once, You Do It Twice) ""On the Ride (You Do It Once, You Do It Twice)"" is a song recorded and released as a single in 1972 by the Dutch musical ensemble, Continental Uptight Band. It was written by Lynsey de Paul (credited as Rubin) and Edward Adamberry. The single was a chart hit in the Netherlands, reaching No. 23 in March 1972. It also reached No. 21 on the Radio Northsea International Prediction Hit 40 listing on 4 March 1972 after being a Smash Play on the radio station a month earlier. The","I'm a large language model, I don't have a local location, so I don't have a specific radio station at 97.3 FM.",Radio Northsea International
What type of exhibits can be seen in the museum at Crich in Derbyshire?,Street railroad; Streetcar; Streetcar network; 🚋; 🚊; Electric streetcar; Steam tram; Trolly Line; Trams; Streetcar line; Tramway car; Tram cars; Articulated tram; Cable-drawn; Tram system; Trolley (streetcar); Streetcars; Trolley (railway); Tram-car; Straßenbahn; Trolley car; Tramcars; Electric tramway; Street cars; Street railway; Double-ended tram; Tramvia; Street Railway; Electric street car; Tram-cars; Tram; Trolley (rail); Single-ended tram; Trolley line; Tram network; Surface car; Steam tram-car; Strassenbahn; Steam tramway; Tram locomotive; Tram service; Trolleycar; Electric trolley; Electric tram; Tramcar; Tram car,"No general improvement in traffic flow was seen after the trams were withdrawn. During the closure cycle of London's tram system, almost 100 of the most modern trams known as the ""Feltham"" class and dating from 1931 were withdrawn and sold to Leeds where they continued in service until the abandonment of that city's trams in 1959. Some London tramcars have been preserved on static display at London's Transport Museum (in Covent Garden) and in working order at the National Tramway Museum at Crich, Derbyshire. A working London tram can also be seen and ridden on at the East Anglia","The Chatsworth House Museum in Crich, Derbyshire, features exhibits on:

- Georgian and Victorian interiors
- Art collections
- Furniture and textiles
- Historical artifacts
- Agriculture and farming",Working London trams.
