question,context,our_answer_wo_context,our_answer_w_context
When was the Greece that we know today unofficially formed?,"The relationship between ethnic Greek identity and Greek Orthodox religion continued after the creation of the Modern Greek state in 1830. According to the second article of the first Greek constitution of 1822, a Greek was defined as any Christian resident of the Kingdom of Greece, a clause removed by 1840. A century later, when the Treaty of Lausanne was signed between Greece and Turkey in 1923, the two countries agreed to use religion as the determinant for ethnic identity for the purposes of population exchange, although most of the Greeks displaced (over a million of the total 1.5 million) had already been driven out by the time the agreement was signed.[note 1] The Greek genocide, in particular the harsh removal of Pontian Greeks from the southern shore area of the Black Sea, contemporaneous with and following the failed Greek Asia Minor Campaign, was part of this process of Turkification of the Ottoman Empire and the placement of its economy and trade, then largely in Greek hands under ethnic Turkish control.",1821: Greek War of Independence,1830.
 What field does the ijazah signify having no expertise in?,"However, the classification of madaris as ""universities"" is disputed on the question of understanding of each institution on its own terms. In madaris, the ijāzahs were only issued in one field, the Islamic religious law of sharīʻah, and in no other field of learning. Other academic subjects, including the natural sciences, philosophy and literary studies, were only treated ""ancillary"" to the study of the Sharia. For example, a natural science like astronomy was only studied (if at all) to supply religious needs, like the time for prayer. This is why Ptolemaic astronomy was considered adequate, and is still taught in some modern day madaris. The Islamic law undergraduate degree from al-Azhar, the most prestigious madrasa, was traditionally granted without final examinations, but on the basis of the students' attentive attendance to courses. In contrast to the medieval doctorate which was granted by the collective authority of the faculty, the Islamic degree was not granted by the teacher to the pupil based on any formal criteria, but remained a ""personal matter, the sole prerogative of the person bestowing it; no one could force him to give one"".",Islamic calligraphy.,No expertise in other fields.
How many blues did Democritus describe?,"In Ancient Greece, green and blue were sometimes considered the same color, and the same word sometimes described the color of the sea and the color of trees. The philosopher Democritus described two different greens; cloron, or pale green, and prasinon, or leek green. Aristotle considered that green was located midway between black, symbolizing the earth, and white, symbolizing water. However, green was not counted among of the four classic colors of Greek painting; red, yellow, black and white, and is rarely found in Greek art.",I couldn't find any information about Democritus describing blues.,I do not know.
What islands are not geographically part of Southeast Asia,"The Andaman and Nicobar Islands of India are geographically considered part of Southeast Asia. Eastern Bangladesh and the Seven Sister States of India are culturally part of Southeast Asia and sometimes considered both South Asian and Southeast Asian. The Seven Sister States of India are also geographically part of Southeast Asia.[citation needed] The rest of the island of New Guinea which is not part of Indonesia, namely, Papua New Guinea, is sometimes included so are Palau, Guam, and the Northern Mariana Islands, which were all part of the Spanish East Indies.[citation needed]","1. Madagascar
2. Mauritius
3. Reunion
4. Seychelles
5. Maldives
6. Sri Lanka
7. Cyprus
8. Turkey
9. Greece
10. Italy",The Andaman and Nicobar Islands.
What macroorganism can notably absorb a very high concentrate of uranium?,"Some organisms, such as the lichen Trapelia involuta or microorganisms such as the bacterium Citrobacter, can absorb concentrations of uranium that are up to 300 times the level of their environment. Citrobacter species absorb uranyl ions when given glycerol phosphate (or other similar organic phosphates). After one day, one gram of bacteria can encrust themselves with nine grams of uranyl phosphate crystals; this creates the possibility that these organisms could be used in bioremediation to decontaminate uranium-polluted water. The proteobacterium Geobacter has also been shown to bioremediate uranium in ground water. The mycorrhizal fungus Glomus intraradices increases uranium content in the roots of its symbiotic plant.",Tardigrades.,Lichens.
Where is the green pigment in eyes located?,"There is no green pigment in green eyes; like the color of blue eyes, it is an optical illusion; its appearance is caused by the combination of an amber or light brown pigmentation of the stroma, given by a low or moderate concentration of melanin, with the blue tone imparted by the Rayleigh scattering of the reflected light. Green eyes are most common in Northern and Central Europe. They can also be found in Southern Europe, West Asia, Central Asia, and South Asia. In Iceland, 89% of women and 87% of men have either blue or green eye color. A study of Icelandic and Dutch adults found green eyes to be much more prevalent in women than in men. Among European Americans, green eyes are most common among those of recent Celtic and Germanic ancestry, about 16%.",Iris.,There is no green pigment.
What did a lot of the wood pulp made from paper contain?,"Much of the early paper made from wood pulp contained significant amounts of alum, a variety of aluminium sulfate salts that is significantly acidic. Alum was added to paper to assist in sizing, making it somewhat water resistant so that inks did not ""run"" or spread uncontrollably. Early papermakers did not realize that the alum they added liberally to cure almost every problem encountered in making their product would eventually be detrimental. The cellulose fibres that make up paper are hydrolyzed by acid, and the presence of alum would eventually degrade the fibres until the paper disintegrated in a process that has come to be known as ""slow fire"". Documents written on rag paper were significantly more stable. The use of non-acidic additives to make paper is becoming more prevalent, and the stability of these papers is less of an issue.",Chlorine,Significant amounts of alum.
In what year did Nintendo reveal the start of development on what would become The Wind Waker?,"In 2003, Nintendo announced that a new The Legend of Zelda game was in the works for the GameCube by the same team that had created the cel-shaded The Wind Waker. At the following year's Game Developers Conference, director Eiji Aonuma unintentionally revealed that the game's sequel was in development under the working title The Wind Waker 2; it was set to use a similar graphical style to that of its predecessor. Nintendo of America told Aonuma that North American sales of The Wind Waker were sluggish because its cartoon appearance created the impression that the game was designed for a young audience. Concerned that the sequel would have the same problem, Aonuma expressed to producer Shigeru Miyamoto that he wanted to create a realistic Zelda game that would appeal to the North American market. Miyamoto, hesitant about solely changing the game's presentation, suggested the team's focus should instead be on coming up with gameplay innovations. He advised that Aonuma should start by doing what could not be done in Ocarina of Time, particularly horseback combat.[l]",2000,2003
"Along with subjective experience, cognitive processes, expressive behavior and psychophysiological changes, what is another notable unemotional component?","Emotions involve different components, such as subjective experience, cognitive processes, expressive behavior, psychophysiological changes, and instrumental behavior. At one time, academics attempted to identify the emotion with one of the components: William James with a subjective experience, behaviorists with instrumental behavior, psychophysiologists with physiological changes, and so on. More recently, emotion is said to consist of all the components. The different components of emotion are categorized somewhat differently depending on the academic discipline. In psychology and philosophy, emotion typically includes a subjective, conscious experience characterized primarily by psychophysiological expressions, biological reactions, and mental states. A similar multicomponential description of emotion is found in sociology. For example, Peggy Thoits described emotions as involving physiological components, cultural or emotional labels (e.g., anger, surprise etc.), expressive body actions, and the appraisal of situations and contexts.",Neurotransmitters.,Instrumental behavior.
What word was created to be used in the study of botany in 1920?,"The term was created in 1920 by Hans Winkler, professor of botany at the University of Hamburg, Germany. The Oxford Dictionary suggests the name to be a blend of the words gene and chromosome. However, see omics for a more thorough discussion. A few related -ome words already existed—such as biome, rhizome, forming a vocabulary into which genome fits systematically.",Phytoremediation,Genome
What jungle animal is in danger on the EIC Arms?,"The East India Company's arms, granted in 1698, were: ""Argent a cross Gules; in the dexter chief quarter an escutcheon of the arms of France and England quarterly, the shield ornamentally and regally crowned Or."" The crest was: ""A lion rampant guardant Or holding between the forepaws a regal crown proper."" The supporters were: ""Two lions rampant guardant Or, each supporting a banner erect Argent, charged with a cross Gules."" The motto was AUSPICIO REGIS ET SENATUS ANGLIÆ (Latin: By right of the King and the Senate of England).",Orangutan,I do not know.
What year did Nintendo's market not surpass all computer software?,"By 1988, industry observers stated that the NES's popularity had grown so quickly that the market for Nintendo cartridges was larger than that for all home computer software. Compute! reported in 1989 that Nintendo had sold seven million NES systems in 1988, almost as many as the number of Commodore 64s sold in its first five years. ""Computer game makers [are] scared stiff"", the magazine said, stating that Nintendo's popularity caused most competitors to have poor sales during the previous Christmas and resulted in serious financial problems for some.",1985,I do not know.
How long has Slovakia been a member of the EU?,"Czech, the official language of the Czech Republic (a member of the European Union since 2004), is one of the EU's official languages and the 2012 Eurobarometer survey found that Czech was the foreign language most often used in Slovakia. Economist Jonathan van Parys collected data on language knowledge in Europe for the 2012 European Day of Languages. The five countries with the greatest use of Czech were the Czech Republic (98.77 percent), Slovakia (24.86 percent), Portugal (1.93 percent), Poland (0.98 percent) and Germany (0.47 percent).","Slovakia joined EU: May 1, 2004.",Slovakia since 2004.
In what neighborhood of Miami isn't Miami New Times based?,"Other major newspapers include Miami Today, headquartered in Brickell, Miami New Times, headquartered in Midtown, Miami Sun Post, South Florida Business Journal, Miami Times, and Biscayne Boulevard Times. An additional Spanish-language newspapers, Diario Las Americas also serve Miami. The Miami Herald is Miami's primary newspaper with over a million readers and is headquartered in Downtown in Herald Plaza. Several other student newspapers from the local universities, such as the oldest, the University of Miami's The Miami Hurricane, Florida International University's The Beacon, Miami-Dade College's The Metropolis, Barry University's The Buccaneer, amongst others. Many neighborhoods and neighboring areas also have their own local newspapers such as the Aventura News, Coral Gables Tribune, Biscayne Bay Tribune, and the Palmetto Bay News.",Wynwood,Midtown.
The eastern communists new rhetoric was that the war was? ,"When anti-German demonstrations erupted in Prague, Czechoslovakia, the Comintern ordered the Czech Communist Party to employ all of its strength to paralyze ""chauvinist elements."" Moscow soon forced the Communist Parties of France and Great Britain to adopt an anti-war position. On 7 September, Stalin called Georgi Dimitrov,[clarification needed] and the latter sketched a new Comintern line on the war. The new line—which stated that the war was unjust and imperialist—was approved by the secretariat of the Communist International on 9 September. Thus, the various western Communist parties now had to oppose the war, and to vote against war credits. Although the French Communists had unanimously voted in Parliament for war credits on 2 September and on 19 September declared their ""unshakeable will"" to defend the country, on 27 September the Comintern formally instructed the party to condemn the war as imperialist. By 1 October the French Communists advocated listening to German peace proposals, and Communist leader Maurice Thorez deserted from the French Army on 4 October and fled to Russia. Other Communists also deserted from the army.","""War of Liberation""",imperialist
Royal assent has been withheld in the UK since what year?,"While royal assent has not been withheld in the United Kingdom since 1708, it has often been withheld in British colonies and former colonies by governors acting on royal instructions. In the United States Declaration of Independence, colonists complained that George III ""has refused his Assent to Laws, the most wholesome and necessary for the public good [and] has forbidden his Governors to pass Laws of immediate and pressing importance, unless suspended in their operation till his Assent should be obtained; and when so suspended, he has utterly neglected to attend to them."" Even after colonies such as Canada, Australia, New Zealand, the Union of South Africa, and Newfoundland were granted responsible government, the British government continued to sometimes advise governors-general on the granting of assent; assent was also occasionally reserved to allow the British government to examine a bill before advising the governor-general.",1979,1708.
Who was responsible for changing Prussia's internal borders?,"During the Allied occupation of Germany after World War II, internal borders were redrawn by the Allied military governments. No single state comprised more than 30% of either population or territory; this was intended to prevent any one state from being as dominant within Germany as Prussia had been in the past. Initially, only seven of the pre-War states remained: Baden (in part), Bavaria (reduced in size), Bremen, Hamburg, Hesse (enlarged), Saxony, and Thuringia. The states with hyphenated names, such as Rhineland-Palatinate, North Rhine-Westphalia, and Saxony-Anhalt, owed their existence to the occupation powers and were created out of mergers of former Prussian provinces and smaller states. Former German territory that lie east of the Oder-Neisse Line fell under either Polish or Soviet administration but attempts were made at least symbolically not to abandon sovereignty well into the 1960s. However, no attempts were made to establish new states in these territories as they lay outside the jurisdiction of West Germany at that time.",Otto von Bismarck.,The Allied military governments.
What isn't a distinguishing aspect of Indian federalism?,"A distinguishing aspect of Indian federalism is that unlike many other forms of federalism, it is asymmetric. Article 370 makes special provisions for the state of Jammu and Kashmir as per its Instrument of Accession. Article 371 makes special provisions for the states of Andhra Pradesh, Arunachal Pradesh, Assam, Goa, Mizoram, Manipur, Nagaland and Sikkim as per their accession or state-hood deals. Also one more aspect of Indian federalism is system of President's Rule in which the central government (through its appointed Governor) takes control of state's administration for certain months when no party can form a government in the state or there is violent disturbance in the state.",Decentralization is.,Symmetrical federalism.
For how long does chronometry usually display a reference point?,"Temporal measurement, chronometry, takes two distinct period forms: the calendar, a mathematical tool for organizing intervals of time, and the clock, a physical mechanism that counts the passage of time. In day-to-day life, the clock is consulted for periods less than a day whereas the calendar is consulted for periods longer than a day. Increasingly, personal electronic devices display both calendars and clocks simultaneously. The number (as on a clock dial or calendar) that marks the occurrence of a specified event as to hour or date is obtained by counting from a fiducial epoch—a central reference point.",Typically 1-2 seconds.,A fiducial epoch is usually a central reference point for a day.
Who never contributed to UNFPA?,Contributions from governments and the private sector to UNFPA in 2014 exceeded $1 billion. The amount includes $477 million to the organization’s core resources and $529 million earmarked for specific programs and initiatives.,I'm not aware of any information about who never contributed to UNFPA.,No one is mentioned.
How many women's intercollegiate athletic teams are fielded by Northwestern?,"Northwestern fields 19 intercollegiate athletic teams (8 men's and 11 women's) in addition to numerous club sports. The women's lacrosse team won five consecutive NCAA national championships between 2005 and 2009, went undefeated in 2005 and 2009, added more NCAA championships in 2011 and 2012, giving them 7 NCAA championships in 8 years, and holds several scoring records. The men's basketball team is recognized by the Helms Athletic Foundation as the 1931 National Champion. In the 2010–11 school year, the Wildcats had one national championship, 12 teams in postseason play, 20 All-Americans, two CoSIDA Academic All-American selections, 8 CoSIDA Academic All0District selections, 1 conference Coach of the Year and Player of the Year, 53 All-Conference and a record 201 Academic All-Big Ten athletes. Overall, 12 of Northwestern's 19 varsity programs had NCAA or bowl postseason appearances.",Northwestern University has 19 women's teams.,11 women's teams.
What was the first African country to gain independence from Britain?,"The 1960s and 1970s saw an acceleration in the decolonisation of Africa and the Caribbean. Over 20 countries gained independence from Britain as part of a planned transition to self-government. In 1965, however, the Rhodesian Prime Minister, Ian Smith, in opposition to moves toward majority rule, declared unilateral independence from Britain while still expressing ""loyalty and devotion"" to Elizabeth. Although the Queen dismissed him in a formal declaration, and the international community applied sanctions against Rhodesia, his regime survived for over a decade. As Britain's ties to its former empire weakened, the British government sought entry to the European Community, a goal it achieved in 1973.","Egypt, 1922.",I do not know.
Where does the structure of a mosque come from?,"The structure of a mosque is simple and it expresses openness. Calligraphic inscriptions from the Quran decorate mosques and mausoleums in Punjab. The inscriptions on bricks and tiles of the mausoleum of Shah Rukn-e-Alam (1320 AD) at Multan are outstanding specimens of architectural calligraphy. The earliest existing building in South Asia with enamelled tile-work is the tomb of Shah Yusuf Gardezi (1150 AD) at Multan. A specimen of the sixteenth century tile-work at Lahore is the tomb of Sheikh Musa Ahangar, with its brilliant blue dome. The tile-work of Emperor Shah Jahan is of a richer and more elaborate nature. The pictured wall of Lahore Fort is the last line in the tile-work in the entire world.","Islamic architecture influenced by:

1. Byzantine style
2. Persian architecture
3. Arabesque design
4. Islamic geometric patterns
5. Quranic verses",The structure of a mosque comes from Punjab.
What areas experience the most insignificant temperature variations?,"The climate in San Diego, like most of Southern California, often varies significantly over short geographical distances resulting in microclimates. In San Diego, this is mostly because of the city's topography (the Bay, and the numerous hills, mountains, and canyons). Frequently, particularly during the ""May gray/June gloom"" period, a thick ""marine layer"" cloud cover will keep the air cool and damp within a few miles of the coast, but will yield to bright cloudless sunshine approximately 5–10 miles (8.0–16.1 km) inland. Sometimes the June gloom can last into July, causing cloudy skies over most of San Diego for the entire day. Even in the absence of June gloom, inland areas tend to experience much more significant temperature variations than coastal areas, where the ocean serves as a moderating influence. Thus, for example, downtown San Diego averages January lows of 50 °F (10 °C) and August highs of 78 °F (26 °C). The city of El Cajon, just 10 miles (16 km) inland from downtown San Diego, averages January lows of 42 °F (6 °C) and August highs of 88 °F (31 °C).","1. Equatorial region
2. Hawaii, USA
3. Maldives
4. Singapore
5. Miami, Florida",Coastal areas.
What is the current name of John Lewis Newcastle? ,"John Lewis Newcastle (formerly Bainbridge) in Newcastle upon Tyne, is the world's oldest Department Store. It is still known to many of its customers as Bainbridge, despite the name change to 'John Lewis'. The Newcastle institution dates back to 1838 when Emerson Muschamp Bainbridge, aged 21, went into partnership with William Alder Dunn and opened a draper's and fashion in Market Street, Newcastle. In terms of retailing history, one of the most significant facts about the Newcastle Bainbridge shop, is that as early as 1849 weekly takings were recorded by department, making it the earliest of all department stores. This ledger survives and is kept in the John Lewis archives. John Lewis bought the Bainbridge store in 1952.",John Lewis Newcastle closed in 2020.,John Lewis Newcastle.
What exists independently?,"For example, a horse eats grass: the horse changes the grass into itself; the grass as such does not persist in the horse, but some aspect of it—its matter—does. The matter is not specifically described (e.g., as atoms), but consists of whatever persists in the change of substance from grass to horse. Matter in this understanding does not exist independently (i.e., as a substance), but exists interdependently (i.e., as a ""principle"") with form and only insofar as it underlies change. It can be helpful to conceive of the relationship of matter and form as very similar to that between parts and whole. For Aristotle, matter as such can only receive actuality from form; it has no activity or actuality in itself, similar to the way that parts as such only have their existence in a whole (otherwise they would be independent wholes).",Physical objects exist independently.,Nothing exists independently.
What piece of uniform has been replaced by the patrol top?,"The U.S. Army black beret (having been permanently replaced with the patrol cap) is no longer worn with the new ACU for garrison duty. After years of complaints that it wasn't suited well for most work conditions, Army Chief of Staff General Martin Dempsey eliminated it for wear with the ACU in June 2011. Soldiers still wear berets who are currently in a unit in jump status, whether the wearer is parachute-qualified, or not (maroon beret), Members of the 75th Ranger Regiment and the Airborne and Ranger Training Brigade (tan beret), and Special Forces (rifle green beret) and may wear it with the Army Service Uniform for non-ceremonial functions. Unit commanders may still direct the wear of patrol caps in these units in training environments or motor pools.",Battledress,The black beret.
"What is on average is the coldest, wetest, and windiest continent?","Antarctica, on average, is the coldest, driest, and windiest continent, and has the highest average elevation of all the continents. Antarctica is considered a desert, with annual precipitation of only 200 mm (8 in) along the coast and far less inland. The temperature in Antarctica has reached −89.2 °C (−128.6 °F), though the average for the third quarter (the coldest part of the year) is −63 °C (−81 °F). There are no permanent human residents, but anywhere from 1,000 to 5,000 people reside throughout the year at the research stations scattered across the continent. Organisms native to Antarctica include many types of algae, bacteria, fungi, plants, protista, and certain animals, such as mites, nematodes, penguins, seals and tardigrades. Vegetation, where it occurs, is tundra.","- Coldest: Antarctica
- Wettest: Antarctica
- Windiest: Antarctica",It's not wettest.
During what war were Alsatians primarily ground units?,"During the First World War, to avoid ground fights between brothers, many Alsatians served as sailors in the Kaiserliche Marine and took part in the Naval mutinies that led to the abdication of the Kaiser in November 1918, which left Alsace-Lorraine without a nominal head of state. The sailors returned home and tried to found a republic. While Jacques Peirotes, at this time deputy at the Landrat Elsass-Lothringen and just elected mayor of Strasbourg, proclaimed the forfeiture of the German Empire and the advent of the French Republic, a self-proclaimed government of Alsace-Lorraine declared independence as the ""Republic of Alsace-Lorraine"". French troops entered Alsace less than two weeks later to quash the worker strikes and remove the newly established Soviets and revolutionaries from power. At the arrival of the French soldiers, many Alsatians and local Prussian/German administrators and bureaucrats cheered the re-establishment of order (which can be seen and is described in detail in the reference video below). Although U.S. President Woodrow Wilson had insisted that the région was self-ruling by legal status, as its constitution had stated it was bound to the sole authority of the Kaiser and not to the German state, France tolerated no plebiscite, as granted by the League of Nations to some eastern German territories at this time, because Alsatians were considered by the French public as fellow Frenchmen liberated from German rule. Germany ceded the region to France under the Treaty of Versailles.",World War I,First World War.
In what year did Paris not get a police force?,"The first centrally organised police force was created by the government of King Louis XIV in 1667 to police the city of Paris, then the largest city in Europe. The royal edict, registered by the Parlement of Paris on March 15, 1667 created the office of lieutenant général de police (""lieutenant general of police""), who was to be the head of the new Paris police force, and defined the task of the police as ""ensuring the peace and quiet of the public and of private individuals, purging the city of what may cause disturbances, procuring abundance, and having each and everyone live according to their station and their duties"".",1667,I do not know.
What newspaper ran for 147 years?,"The Ann Arbor News, owned by the Michigan-based Booth Newspapers chain, is the major daily newspaper serving Ann Arbor and the rest of Washtenaw County. The newspaper ended its 174-year print run in 2009, due to economic difficulties. It was replaced by AnnArbor.com, but returned to a limited print publication under its former name in 2013. Another Ann Arbor-based publication that has ceased production was the Ann Arbor Paper, a free monthly. Ann Arbor has been said to be the first significant city to lose its only daily paper. The Ann Arbor Chronicle, an online newspaper, covered local news, including meetings of the library board, county commission, and DDA until September 3, 2014.",The Hartford Courant,I do not know.
Who were the first persons to be called cardinals at the beginning of the 7th century in Rome?,"There is disagreement about the origin of the term, but general consensus that ""cardinalis"" from the word cardo (meaning 'pivot' or 'hinge') was first used in late antiquity to designate a bishop or priest who was incorporated into a church for which he had not originally been ordained. In Rome the first persons to be called cardinals were the deacons of the seven regions of the city at the beginning of the 6th century, when the word began to mean “principal,” “eminent,” or ""superior."" The name was also given to the senior priest in each of the ""title"" churches (the parish churches) of Rome and to the bishops of the seven sees surrounding the city. By the 8th century the Roman cardinals constituted a privileged class among the Roman clergy. They took part in the administration of the church of Rome and in the papal liturgy. By decree of a synod of 769, only a cardinal was eligible to become pope. In 1059, during the pontificate of Nicholas II, cardinals were given the right to elect the pope under the Papal Bull In nomine Domini. For a time this power was assigned exclusively to the cardinal bishops, but the Third Lateran Council in 1179 gave back the right to the whole body of cardinals. Cardinals were granted the privilege of wearing the red hat by Pope Innocent IV in 1244.",Pope Honorius I,Deacons of the seven regions.
What form is copper hidden?,"Most copper is mined or extracted as copper sulfides from large open pit mines in porphyry copper deposits that contain 0.4 to 1.0% copper. Examples include Chuquicamata in Chile, Bingham Canyon Mine in Utah, United States and El Chino Mine in New Mexico, United States. According to the British Geological Survey, in 2005, Chile was the top mine producer of copper with at least one-third world share followed by the United States, Indonesia and Peru. Copper can also be recovered through the in-situ leach process. Several sites in the state of Arizona are considered prime candidates for this method. The amount of copper in use is increasing and the quantity available is barely sufficient to allow all countries to reach developed world levels of usage.",Copper is often hidden in pennies.,Copper sulfides.
What was the color of the emperor in Ancient Tryian?,"In Ancient Rome, Tyrian purple was the color of the Emperor, but red had an important religious symbolism. Romans wore togas with red stripes on holidays, and the bride at a wedding wore a red shawl, called a flammeum. Red was used to color statues and the skin of gladiators. Red was also the color associated with army; Roman soldiers wore red tunics, and officers wore a cloak called a paludamentum which, depending upon the quality of the dye, could be crimson, scarlet or purple. In Roman mythology red is associated with the god of war, Mars. The vexilloid of the Roman Empire had a red background with the letters SPQR in gold. A Roman general receiving a triumph had his entire body painted red in honor of his achievement.","I couldn't find any information about ""Ancient Tryian.""",Tyrian purple.
During which times does the value of the dollar typically maintain value?,"The value of the U.S. dollar declined significantly during wartime, especially during the American Civil War, World War I, and World War II. The Federal Reserve, which was established in 1913, was designed to furnish an ""elastic"" currency subject to ""substantial changes of quantity over short periods"", which differed significantly from previous forms of high-powered money such as gold, national bank notes, and silver coins. Over the very long run, the prior gold standard kept prices stable—for instance, the price level and the value of the U.S. dollar in 1914 was not very different from the price level in the 1880s. The Federal Reserve initially succeeded in maintaining the value of the U.S. dollar and price stability, reversing the inflation caused by the First World War and stabilizing the value of the dollar during the 1920s, before presiding over a 30% deflation in U.S. prices in the 1930s.",Gold standard (1879-1933),The 1880s and 1914.
When did Hermann Lotz offer his theories?,"Christian theologians have held idealist views, often based on Neoplatonism, despite the influence of Aristotelian scholasticism from the 12th century onward. Later western theistic idealism such as that of Hermann Lotze offers a theory of the ""world ground"" in which all things find their unity: it has been widely accepted by Protestant theologians. Several modern religious movements, for example the organizations within the New Thought Movement and the Unity Church, may be said to have a particularly idealist orientation. The theology of Christian Science includes a form of idealism: it teaches that all that truly exists is God and God's ideas; that the world as it appears to the senses is a distortion of the underlying spiritual reality, a distortion that may be corrected (both conceptually and in terms of human experience) through a reorientation (spiritualization) of thought.",Hermann Lotz (1817-1891),Late 19th century.
What is the largest amature sportsclub in Europe?,"Utrecht is home to the premier league (professional) football club FC Utrecht, which plays in Stadium Nieuw Galgenwaard. It is also the home of Kampong, the largest (amateur) sportsclub in the Netherlands (4,500 members), SV Kampong. Kampong features fieldhockey, soccer, cricket, tennis, squash and jeu de boules. Kampong's men and women top hockey squads play in the highest Dutch hockey league, the Rabohoofdklasse.Utrecht is also home to the baseball and Sofball club: UVV which plays in the highest Dutch baseball league: de Hoofdklasse. Utrecht's waterways are used by several rowing clubs. Viking is a large club open to the general public, and the student clubs Orca and Triton compete in the Varsity each year.",FC Barcelona,Kampong.
"Usually a panel consists of multiple designs, but sometimes what?","Panelization is a procedure whereby a number of PCBs are grouped for manufacturing onto a larger board - the panel. Usually a panel consists of a single design but sometimes multiple designs are mixed on a single panel. There are two types of panels: assembly panels - often called arrays - and bare board manufacturing panels. The assemblers often mount components on panels rather than single PCBs because this is efficient. The bare board manufactures always uses panels, not only for efficiency, but because of the requirements the plating process. Thus a manufacturing panel can consist of a grouping of individual PCBs or of arrays, depending on what must be delivered.","Usually a panel consists of multiple designs, but sometimes a single design.","""Sometimes a single design."""
Where is interest in Whitehead's work growing the slowest today?,"But while Claremont remains the most concentrated hub of Whiteheadian activity, the place where Whitehead's thought currently seems to be growing the most quickly is in China. In order to address the challenges of modernization and industrialization, China has begun to blend traditions of Taoism, Buddhism, and Confucianism with Whitehead's ""constructive post-modern"" philosophy in order to create an ""ecological civilization."" To date, the Chinese government has encouraged the building of twenty-three university-based centers for the study of Whitehead's philosophy, and books by process philosophers John Cobb and David Ray Griffin are becoming required reading for Chinese graduate students. Cobb has attributed China's interest in process philosophy partly to Whitehead's stress on the mutual interdependence of humanity and nature, as well as his emphasis on an educational system that includes the teaching of values rather than simply bare facts.",I couldn't find any information on a specific person named Whitehead. Could you please provide more context or details about who Whitehead is?,Claremont.
What was originally based on an actual pet?,"Digimon was first conceived as a virtual pet toy in the vein of Tamagotchis and, as such, took influence from Tamagotchis' cute and round designs. The small areas of the screens (16 by 16 pixels) meant that character designers had to create monsters whose forms would be easily recognizable. As such, many of the early Digimon—including Tyrannomon, the first one ever created—were based on dinosaurs. Many further designs were created by Kenji Watanabe, who was brought in to help with the ""X-Antibody"" creatures and art for the Digimon collectible card game. Watanabe was one influenced by American comics, which were beginning to gain popularity in Japan, and as such began to make his characters look stronger and ""cool."" The character creation process, however, has for most of the franchise's history been collaborative and reliant on conversation and brainstorming.",Aflatoxin,Tamagotchis.
The CBC's yearly operating costs were recorded as this amount?,"CBC announced on April 4, 2012, that it will shut down all of its approximately 620 analogue television transmitters on July 31, 2012 with no plans to install digital transmitters in their place, thus reducing the total number of the corporation's television transmitters across the country down to 27. According to the CBC, this would reduce the corporation's yearly costs by $10 million. No plans have been announced to use subchannels to maintain over-the-air signals for both CBC and Radio-Canada in markets where the corporation has one digital transmitter. In fact, in its CRTC application to shut down all of its analogue television transmitters, the CBC communicated its opposition to use of subchannels, citing costs, amongst other reasons.",I don't have that information.,$10 million.
"As of 2015, what country was the largest producer of uranium oxides?","In 2005, seventeen countries produced concentrated uranium oxides, with Canada (27.9% of world production) and Australia (22.8%) being the largest producers and Kazakhstan (10.5%), Russia (8.0%), Namibia (7.5%), Niger (7.4%), Uzbekistan (5.5%), the United States (2.5%), Argentina (2.1%), Ukraine (1.9%) and China (1.7%) also producing significant amounts. Kazakhstan continues to increase production and may have become the world's largest producer of uranium by 2009 with an expected production of 12,826 tonnes, compared to Canada with 11,100 t and Australia with 9,430 t. In the late 1960s, UN geologists also discovered major uranium deposits and other rare mineral reserves in Somalia. The find was the largest of its kind, with industry experts estimating the deposits at over 25% of the world's then known uranium reserves of 800,000 tons.","Australia, 2015.",I do not know.
What was the first private television station in the US?,"The Houston–The Woodlands–Sugar Land metropolitan area is served by one public television station and two public radio stations. KUHT (HoustonPBS) is a PBS member station and is the first public television station in the United States. Houston Public Radio is listener-funded and comprises two NPR member stations: KUHF (KUHF News) and KUHA (Classical 91.7). KUHF is news/talk radio and KUHA is a classical music station. The University of Houston System owns and holds broadcasting licenses to KUHT, KUHF, and KUHA. The stations broadcast from the Melcher Center for Public Broadcasting, located on the campus of the University of Houston.",WJZ-TV,I do not know.
What crisis began in 2004?,"In 2004, the Swaziland government acknowledged for the first time that it suffered an AIDS crisis, with 38.8% of tested pregnant women infected with HIV (see AIDS in Africa). The then Prime Minister Themba Dlamini declared a humanitarian crisis due to the combined effect of drought, land degradation, increased poverty, and HIV/AIDS. According to the 2011 UNAIDS Report, Swaziland is close to achieving universal access to HIV/AIDS treatment, defined as 80% coverage or greater. Estimates of treatment coverage range from 70% to 80% of those infected. Life expectancy had fallen from 61 years in 2000 to 32 years in 2009. Tuberculosis is also a significant problem, with an 18% mortality rate. Many patients have a multi-drug resistant strain, and 83% are co-infected with HIV.",Hurricane Katrina.,AIDS crisis.
"After Europa City gained promotion, which club participated in the Premier League for the first time?","In 2011, a Welsh club participated in the Premier League for the first time after Swansea City gained promotion. The first Premier League match to be played outside England was Swansea City's home match at the Liberty Stadium against Wigan Athletic on 20 August 2011. In 2012–13, Swansea qualified for the Europa League by winning the League Cup. The number of Welsh clubs in the Premier League increased to two for the first time in 2013–14, as Cardiff City gained promotion, but Cardiff City was relegated after its maiden season.",I couldn't find any information about Europa City gaining promotion.,Swansea City.
