question_id,question,reference,context,our_answer_wo_context,our_answer_w_context
5ab7ba7555429928e1fe38b5,The Dukes of Hazzard was inspired by the 1975 film starring whom?,James Mitchum,"Moonrunners is a 1975 film, starring James Mitchum, about a Southern family that runs bootleg liquor. It was reworked four years later into the popular long-running television series ""The Dukes of Hazzard"", and as such the two productions share many similar concepts. Mitchum had co-starred with his father, Robert Mitchum, in the similar drive-in favorite ""Thunder Road"" eighteen years earlier, which also focused upon moonshine-running bootleggers using fast cars to elude federal agents. ""Moonrunners"", a B movie, was filmed in 1973 and awaited release for over a year. Its soundtrack reflects the outlaw music boom of the 1970s during which the film was released.
The Dukes of Hazzard is an American action-comedy television series that aired on CBS from January 26, 1979, to February 8, 1985. The show aired for a total of 147 episodes spanning seven seasons. The series was inspired by the 1975 film ""Moonrunners"", which was also created by Gy Waldron and had many identical or similar character names and concepts.",The Dukes of Hazzard (1975 film) was inspired,"The 1975 film ""Moonrunners""."
5ae22a08554299234fd0440b,Which Canadian heavy metal band is Safe  the second EP by ,Kittie,"Safe is the second EP by Kittie, a Canadian heavy metal all-women band from London, Ontario. It was released in 2002. It is dedicated ""In Loving Memory of Dave Williams"". The EP sold 25,000 units in the United States. It received very little promotion, only appearing on 2 major rock/heavy metal magazines.
Kittie (stylized as KiTTiE) are a Canadian heavy metal band formed in London, Ontario in 1996. They have released six studio albums, one video album, four extended plays, thirteen singles and thirteen music videos. The band chose ""Kittie"" as their band name because the name ""seemed contradictory"".",I couldn't find the information about the Canadian heavy metal band Safe's,Kittie
5ae8295955429952e35eaa6d,"Henricus Antonius ""Han"" van Meegeren sold a forged painting to a military leader who was the recipient of what?",Pour le Mérite,"Henricus Antonius ""Han"" van Meegeren (] ; 10 October 1889 – 30 December 1947) was a Dutch painter and portraitist and is considered to be one of the most ingenious art forgers of the 20th century. Despite his life of crime, van Meegeren became a national hero after World War Two when it was revealed that he had sold a forged painting to Reichsmarschall Hermann Göring during the Nazi Occupation of the Netherlands.
Hermann Wilhelm Göring (or Goering; ] ; 12 January 1893 – 15 October 1946) was a German political and military leader as well as one of the most powerful figures in the Nazi Party (NSDAP) that ruled Germany from 1933 to 1945. A veteran World War I fighter pilot ace, he was a recipient of the ""Pour le Mérite"". He was the last commander of ""Jagdgeschwader"" 1, the fighter wing once led by Manfred von Richthofen.",World War II,"The ""Pour le Mérite""."
5ae618325542996de7b71b56,"Gerald Grosvenor, 6th Duke of Westminster was succeeded by the British aristocrat who is estimated to be worth how much?",US$13 billion,"Hugh Richard Louis Grosvenor, 7th Duke of Westminster (born 29 January 1991), styled as Earl Grosvenor until August 2016, is a British aristocrat, billionaire, businessman and landowner. He is the third child and only son of Gerald Grosvenor, 6th Duke of Westminster and his wife Natalia Phillips Grosvenor, Duchess of Westminster. He inherited the title of Duke of Westminster on 9 August 2016, on the death of his father. The duke is estimated to be worth US$13 billion, making him the world's richest person aged under 30.
Major General Gerald Cavendish Grosvenor, 6th Duke of Westminster, (22 December 1951 – 9 August 2016) was a British landowner, businessman, philanthropist, Territorial Army general and hereditary peer. He was the son of Robert George Grosvenor, 5th Duke of Westminster and Viola Grosvenor. He was Chairman of the property company Grosvenor Group. He is succeeded by his son, Hugh Grosvenor, 7th Duke of Westminster.","Gerald Cavendish Grosvenor, 6th Duke of",$13 billion.
5ac290e85542992f1f2b3916,What facility is shared by RAAF Base Williamtown and Newcastle Airport in New South Wales?,runway,"The Newcastle Airport (IATA: NTL, ICAO: YWLM) is 8 NM north of Newcastle, New South Wales (27 km by road) in Port Stephens. It is the 12th busiest airport in Australia, handling over 1.25 million passengers in the year ended 30 June 2017, an increase of 6.6% on the previous year. The airport occupies a 28 ha site on the southern border of RAAF Base Williamtown.
RAAF Base Williamtown (IATA: NTL, ICAO: YWLM) is a Royal Australian Air Force (RAAF) military air base located 8 NM north of the coastal city of Newcastle (27 km by road) in the local government area of Port Stephens, in New South Wales, Australia. The base serves as the headquarters to both the Air Combat Group and the Surveillance and Response Group of the RAAF. The military base shares its runway facilities with Newcastle Airport. The nearest towns are Raymond Terrace, located 8 km west of the base and Medowie, 6.8 km , north of the base, which is home to many of the base's staff.",RAAF Base Williamtown and Newcastle Airport share the Williamtown Air Weapons,Runway facilities.
5ae10a5b55429920d52342a0,"Who was the director of the 2000 American comedy film in which the actress, whose first role in film was in director Martin Kunert's film ""Campfire Tales"", played a role?",Todd Phillips,"Road Trip is a 2000 American comedy film directed by Todd Phillips and written by Scot Armstrong and Phillips. The film stars Breckin Meyer, Seann William Scott, Paulo Costanzo, and DJ Qualls as four college friends who embark on an 1800-mile road trip to retrieve an illicit tape mistakenly mailed to a girlfriend.
Amy Lysle Smart (born March 26, 1976) is an American actress and former fashion model. Smart began her career modeling in Italy and subsequently enrolled in acting school. Her first role in film was in director Martin Kunert's film ""Campfire Tales."" She has since appeared in numerous films, including ""Varsity Blues"" (1999), ""Road Trip"" (2000), ""Rat Race"" (2001), ""The Butterfly Effect"" (2004), ""Just Friends"" (2005), ""Mirrors"" (2008), and Tyler Perry's ""The Single Moms Club"" (2014).",I couldn't find the information.,Todd Phillips.
5a74d9c555429929fddd84fb,What is the surname of the Italian composer of the works for which the baritone Giovanni Polese was celebrated?,Verdi,"Giovanni Polese (1873 – January 1952) was an Italian operatic baritone who had an active international singing career from 1894-1928. He achieved the height of his success in the United States in the years 1908-1916 in the cities of Boston, Chicago, New York, and Philadelphia, and again from 1926-1928 in Chicago. While he sang a broad repertoire from the French, German, and Italian repertoires, he was most celebrated for his performances in the operas of Giuseppe Verdi. His voice is preserved on more than 20 recordings made by Edison Records.
Giuseppe Fortunino Francesco Verdi (] ; 9 or 10 October 1813 – 27 January 1901) was an Italian opera composer.",Giovanni Polese,Verdi.
5ac029655542992a796decb3,"Which game is designed by more persons, Elfenland or San Marco?",San Marco,"San Marco is a 2001 designer board game by Alan R. Moon and Aaron Weissblum. The game is set in Venice, and the title comes from the name of one of the city's districts.
Elfenland is a German-style board game designed by Alan R. Moon and published by Amigo Spiele in German and Rio Grande Games in English in 1998.","I couldn't find any information on ""Elfenland"" or """,Elfenland.
5a7322a25542991f9a20c634,Was the Metropolitan Life Insurance Company Tower [Met Life Tower] or the 15 Hudson Yards building designed by the firm of Napoleon LeBrun & Sons?,The Metropolitan Life Insurance Company Tower,"The Metropolitan Life Insurance Company Tower, colloquially known as the Met Life Tower, is a landmark skyscraper located on Madison Avenue near the intersection with East 23rd Street, across from Madison Square Park in Manhattan, New York City. Designed by the architectural firm of Napoleon LeBrun & Sons and built by the Hedden Construction Company, the tower is modeled after the Campanile in Venice, Italy. The hotel located in the clock tower portion of the building has the address 5 Madison Avenue, while the office building covering the rest of the block, occupied primarily by Credit Suisse, is referred to as 1 Madison Avenue.
15 Hudson Yards is a residential building currently under construction on Manhattan's West Side. Located in Chelsea near Hell's Kitchen Penn Station area, the building is a part of the Hudson Yards project, a plan to redevelop the Metropolitan Transportation Authority's West Side Yards. The tower started construction on December 4, 2014.",Napoleon LeBrun & Sons designed 15 Hudson Yards.,Neither.
5add2eab5542992ae4cec4da,"What is the nationality of the actor who costarred with Joe Chen and Jia Nailiang in ""Destined to Love You""?",Hong Kong,"Bosco Wong Chung-chak (, born 13 December 1980) is a Hong Kong actor under TVB management and singer under East Asia Music.
Destined to Love You (Chinese: 偏偏喜欢你) is a 2015 Chinese television series created by Tong Hua and starring Joe Chen, Jia Nailiang and Bosco Wong with a special appearance by Zheng Shuang. It aired on Hunan TV from 16 June to 11 July 2015.",I couldn't find the information about the actor who costarred with,Hong Kong
5a78f18855429974737f7915,"Orange is the New Black, starring Annie Golden as Norma Romano, takes place in which minimum-security federal prison?",FCI Danbury,"Orange Is the New Black (sometimes abbreviated to OITNB) is an American comedy-drama web television series created by Jenji Kohan for Netflix. The series is based on Piper Kerman's memoir, """" (2010), about her experiences at FCI Danbury, a minimum-security federal prison. ""Orange Is the New Black"" premiered on July 11, 2013 on the streaming service Netflix. In February 2016, the series was renewed for a fifth, sixth, and seventh season. The fifth season was released on June 9, 2017. The series is produced by Tilted Productions in association with Lionsgate Television.
Annie Golden (born October 19, 1951) is an American actress and singer. She is best known for portraying mute Norma Romano in Orange Is the New Black since 2013.",Litchfield Federal Penitentiary,FCI Danbury.
5ae1b8075542997283cd2262,What muffler repair shop owner inspired Andrey Zvyagintsev's film Leviathan?,Marvin John Heemeyer,"On June 4, 2004, automobile muffler repair shop owner Marvin John Heemeyer drove his armored bulldozer through Granby, Colorado, damaging 13 buildings, with the cost of the damage rounding to an estimated $7 million. Heeymeyer's bulldozer rampage, which targeted other parties of a zoning dispute, ended ignominiously when Heemeyer committed suicide with a handgun inside his Komatsu D355A bulldozer. Heemeyer added improvised composite armor to his bulldozer consisting of layers of concrete and steel, creating what the media called a ""killdozer"".
Leviathan (Russian: Левиафан , ""Leviafan"") is a 2014 Russian drama film directed by Andrey Zvyagintsev, co-written by Zvyagintsev and Oleg Negin, and starring Aleksei Serebryakov, Elena Lyadova, and Vladimir Vdovichenkov. According to Zvyagintsev, the story of Marvin Heemeyer in the United States inspired him and it was adapted into a Russian setting, but critics compare the story to the more similar biblical story of Naboth's Vineyard, where a King vies for his subjects' land and is motivated by his Queen to obtain it in a sly manner. The character development of the protagonist parallels another biblical figure, Job. The producer Alexander Rodnyansky has said: ""It deals with some of the most important social issues of contemporary Russia while never becoming an artist's sermon or a public statement; it is a story of love and tragedy experienced by ordinary people"". Critics noted the film as being formidable, dealing with quirks of fate, power and money.",Vladimir Monarchov,Marvin John Heemeyer.
5ae074aa5542993d6555eb54,Are Ash Lieb and Elswyth Thane both artists?,no,"Helen Elswyth Thane Ricker Beebe (May 16, 1900 – July 31, 1984) was an American romance novelist. Born in Burlington, Iowa, she was the daughter of a local teacher and high school principal. The family moved to New York City in 1918, and ""Helen Ricker"" changed her name to ""Elswyth Thane"". She began working as a freelance writer in the 20s, and became a newspaper writer and a Hollywood screenwriter. Her first novel, ""Riders of the Wind"", was published in 1926. Her novel, ""The Tudor Wench"", about Elizabeth I of England, was made into a play. She was a collector of scarves.
Ash Lieb (born 22 August 1982) is an Australian artist, writer and comedian, known for his surreal humour and art. Born in Ballarat, Ash Lieb began exhibiting art at eight years of age, and at the age of fifteen, wrote his first novel, ""The Secret Well"". Throughout his career, Lieb has created a diverse range of artworks, books, short films, and comedic performances, which have often possessed philosophical or psychiatric undertones.",I couldn't find any information on Ash Lieb and Elswyth,"No, they are not both artists."
5a8baf4b5542996e8ac889c5,"Which magazine has more issues each month, In These Times or Multinational Monitor?",Multinational Monitor,"The Multinational Monitor was a bimonthly magazine founded by Ralph Nader in 1980. It was published by Essential Information. The magazine was formerly published on a monthly basis. Although its primary focus was on analysis of corporations, it also published articles on labor issues and occupational safety and health, the environment, globalization, privatization, the global economy, and developing nations.
In These Times is an American politically progressive/democratic socialist monthly magazine of news and opinion published in Chicago, Illinois.",I couldn't find the exact information on the number of issues per month,"In These Times is monthly, Multinational Monitor was bimonth"
5ab67c3f55429954757d32f9,Are Maro Ajemian and Patricia Field both pianists?,no,"Patricia Field (born February 12, 1942) is an American costume designer, stylist and fashion designer.
Maro Ajemian (July 9, 1921 – September 18, 1978) was an American pianist. Ajemian's career in contemporary music got its impetus from her Armenian heritage; she became known as a contemporary pianist after performing the U.S. premiere of Aram Khachaturian's Piano Concerto, which she chose to play based on the fact that Khachaturian was Armenian.","No, Patricia Field is a costume designer.","No, Patricia Field is not a pianist."
5aba94e355429901930fa845,Jonathan Groff was 30 years old when he appeared in a historical musical written by whom?,Lin-Manuel Miranda,"""You'll Be Back"" is the seventh song from Act 1 of the musical ""Hamilton"", based on the life of Alexander Hamilton, which premiered on Broadway in 2015. Lin-Manuel Miranda wrote both the music and lyrics to the song. It is sung by Jonathan Groff in the show's original cast recording.
Jonathan Drew Groff (born March 26, 1985) is an American actor and singer.",Lin-Manuel Miranda,Lin-Manuel Miranda.
5ab2d61155429916697740ff,"What kind of creative artist was Howell Conant, famed for his work with Grace Kelly?",photographer,"Howell T. Conant, Senior (March 13, 1916 – March 11, 1999) was an American fashion photographer noted for his portraits of the American actress and later Princess Consort of Monaco, Grace Kelly.
Grace Patricia Kelly (November 12, 1929September 14, 1982) was an American actress who became Princess of Monaco after marrying Prince Rainier III, in April 1956.",Howell Conant was a photographer.,Fashion photographer.
5a84c0765542991dd0999dd9,"Who was the main vocal of ""Set the Fire to the Third Bar""?",Gary Lightbody,"Snow Patrol are a Northern Irish-Scottish rock band formed in 1993, consisting of Gary Lightbody (vocals, guitar), Nathan Connolly (guitar, backing vocals), Paul Wilson (bass guitar, backing vocals), Jonny Quinn (drums), and Johnny McDaid (piano, guitar, backing vocals). Initially an indie rock band, the band rose to prominence in the early-mid 2000s as part of the post-Britpop movement.
""Set the Fire to the Third Bar"" is a song from Snow Patrol's fourth album, ""Eyes Open"", featuring Martha Wainwright on vocals. The song was released as a single on the 13 November 2006.",Rage Against the Machine,Martha Wainwright
5ab8420555429919ba4e2290,The Ranters were a loose collection of radical so-called heretics whose main objection was with what major division of Christendom?,Roman Catholicism,"Laurence Clarkson (1615–1667), sometimes called Claxton, born in Preston, Lancashire, was an English theologian and accused heretic. He was the most outspoken and notorious of the loose collection of radical Protestants known as the Ranters.
Protestantism is a form of Christianity which originated with the Reformation, a movement against what its followers considered to be errors in the Roman Catholic Church. It is one of the three major divisions of Christendom, together with Roman Catholicism and Orthodoxy. The term derives from the letter of protestation from German Lutheran princes in 1529 against an edict of the Diet of Speyer condemning the teachings of Martin Luther as heretical.",Lutheran,Roman Catholicism.
5a80afcf554299485f5986b9,Who else beside the  American university administrator and politician from the state of Oklahoma was part of the  Boren-McCurdy proposals?,David McCurdy,"David Lyle Boren (born April 21, 1941) is an American university administrator and politician from the state of Oklahoma. A member of the Democratic Party, he served as the 21st governor of Oklahoma from 1975 to 1979 and in the United States Senate from 1979 to 1994. He is currently the 13th president of the University of Oklahoma. He was the longest serving chairman of the Senate Select Committee on Intelligence. David Boren officially announced his retirement as president of the University of Oklahoma, effective June 30, 2018.
The Boren-McCurdy intelligence reform proposals are two legislative proposals from Senator David Boren and Representative David McCurdy in 1992 (102nd Congress). Both pieces of legislation propose the creation of a National Intelligence Director. Neither bill passed into law.",I couldn't find any information about the Boren-McCurdy,Representative David McCurdy.
5a80d2c6554299260e20a17c,British Airways and EasyJet are both based out of where?,London,"British Airways (BA) is the flag carrier airline of the United Kingdom. It is the largest airline in the UK based on fleet size, international flights and international destinations. British Airways was considered the largest UK airline by passenger numbers from its creation in 1974 until 2008, when it was displaced by low-cost rival EasyJet. Since its inception, British Airways has been centred at its main hub at London Heathrow Airport, with a second major hub at London Gatwick Airport.
EasyJet (styled as easyJet; ) is a British airline, operating under the low-cost carrier model, based at London Luton Airport. It operates domestic and international scheduled services on over 820 routes in more than 30 countries. easyJet plc is listed on the London Stock Exchange and is a constituent of the FTSE 100 Index. easyGroup Holdings Ltd (the investment vehicle of the airline's founder Stelios Haji-Ioannou and his family) is the largest shareholder with a 34.62% stake (as of July 2014). It employs nearly 11,000 people, based throughout Europe but mainly in the UK.",London Gatwick,London.
5ab8736455429916710eb058,Are Yut and Tsuro both board games?,yes,"Yut Nori, also known as Yunnori, Nyout, and Yoot, is a traditional board game played in Korea, especially during Korean New Year. The game is also called ""cheok-sa"" or ""sa-hee"". The combining-form ""-nori"" means 'game'.
Tsuro is a tile-based board game designed by Tom McMurchie, originally published by WizKids and now published by Calliope Games.","Yes, both are traditional Japanese board games.",Yes.
5ab678f455429954757d32d3,What river runs near the tidal island of Eilean Tioram?,River Shiel,"Loch Shiel (Scottish Gaelic: Loch Seile) is a 17+1/2 mi freshwater loch, 120 m (393 ft) deep, situated 12.4 miles west of Fort William in Lochaber, Highland, Scotland. Its nature changes considerably along its length, being deep and enclosed by mountains in the north east and shallow surrounded by bog and rough pasture in the south west, from which end the 4 km River Shiel drains to the sea in Loch Moidart near Castle Tioram.
Castle Tioram ( ) (Scottish Gaelic: ""Caisteal Tioram"" , meaning ""dry castle"") is a ruined castle that sits on the tidal island Eilean Tioram in Loch Moidart, Lochaber, Highland, Scotland. It is located west of Acharacle, approximately 80 km from Fort William. Though hidden from the sea, the castle controls access to Loch Shiel. It is also known to the locals as ""Dorlin Castle"". The castle is a scheduled monument.",River Nevis.,River Shiel.
5a77727555429972597f1540,Which actress appeared in Studio 60 on the Sunset Strip in 2007 and American Horror Story in 2014?,Sarah Paulson,"""Blood Bath"" is the eighth episode of the of the anthology television series ""American Horror Story"", which premiered on December 3, 2014 on the cable network FX. It was written by Ryan Murphy and directed by Bradley Buecker. In this episode, the performers mourn the death of one of their own as Elsa (Jessica Lange) brings in a new performer. It is notable for being the first episode for series veteran Sarah Paulson to miss since the show's .
Sarah Catharine Paulson (born December 17, 1974) is an American actress. After beginning her acting career on stage, she starred in the 1990s television series ""American Gothic"" (1995–96) and ""Jack & Jill"" (1999–2001). Paulson later appeared in comedy films such as ""What Women Want"" (2000) and ""Down with Love"" (2003), and had dramatic roles in films such as ""Path to War"" (2002) and ""The Notorious Bettie Page"" (2005). From 2006 to 2007, Paulson played the role of Harriet Hayes in the NBC comedy-drama series ""Studio 60 on the Sunset Strip"", for which she received her first Golden Globe Award nomination. In 2008, she starred as Ellen Dolan in the superhero noir film ""The Spirit"".",Christina Applegate,Sarah Paulson.
5a72dcb45542992359bc31af,What company did Rex Maughan aquire?,Aloe Vera of America,"Forever Living Products International, Inc. (FLPI) is a privately held multi-level marketing (MLM) company based in Scottsdale, Arizona, which manufactures and sells aloe vera-based drinks and bee-derived cosmetics, nutritional supplements, and personal care products. The company was founded in 1978 by CEO Rex Maughan. After acquiring the company Aloe Vera of America by the 1990s, In 2010, the company reported having over 4,000 employees, a network of 9.3 million distributors, and revenue of $1.7 billion.
Rex G. Maughan is the founder, president, and CEO of Forever Living Products, a multi-level marketing program that sells aloe-vera based cosmetics and other personal products. He is also a real-estate investor.",I couldn't find any information about a person named Rex Maughan,Aloe Vera of America
5a77322055429972597f1494,Which software application was originally made for the company that acquired RadioShack in 1963?,DeskMate,"DeskMate was a software application that provided an operating environment that competed with early versions of Microsoft Windows. It originally was made for Tandy's TRS-DOS Operating System and for their TRS-80 line of computers, but eventually shifted to PC, where it was developed using C and Assembly. Like Windows (and other competitors from the time, such as GEM), it was not a full operating system, requiring a separate disk operating system in order to function. Although the initial PC ports would only run on Tandy's PCs (such as the Tandy 1000), the introduction of the true PC-compatible computers such as the Tandy 3000 resulted in the software later being made available for other compatibles.
Tandy Corporation was an American family-owned leather goods company based in Fort Worth, Texas. Tandy Leather was founded in 1919 as a leather supply store and acquired a number of craft retail companies, including RadioShack in 1963. In 2000, the Tandy Corporation name was dropped and the entity became the RadioShack Corporation.",RadioShack's software was VisiCalc.,DeskMate.
5a8889405542997e5c09a5f9,"What actor iin the 1999 remake of ""The Mummy"" appears in Drool?",Oded Fehr,"Oded Fehr (Hebrew: עודד פהר‎ ‎ ; born on November 23, 1970) is an Israeli film and television actor now based in the United States. He is known for his appearance as Ardeth Bay in the 1999 remake of ""The Mummy"" and its sequel ""The Mummy Returns"", as well as Carlos Oliveira in """", """" and """", Faris al-Farik in ""Sleeper Cell"", the demon Zankou in the TV series ""Charmed"" and Eli Cohn on the TV series ""V"". He recently portrayed Eyal Lavin, a Mossad agent, on the TV series ""Covert Affairs"", as well as Beau Bronn on the TV series ""Jane by Design"" and Mossad Deputy Director Ilan Bodnar on ""NCIS"".
Drool is a 2009 American film, starring Laura Harring, Jill Marie Jones, Oded Fehr, Ashley Duggan Smith, and Christopher Newhouse. The film itself speaks of sexual assault, teenage sex, homosexuals, verbal abuse and physical abuse.",Oded Fehr,Oded Fehr.
5a8c62f5554299585d9e367b,By what other names was the king known whose reign was the first included in the Year Books? ,Edward Longshanks and the Hammer of the Scots,"The Year Books are the modern English name that is now typically given to the earliest law reports of England. Substantial numbers of manuscripts circulated during the later medieval period containing reports of pleas heard before the Common Bench. In the sixteenth century versions of this material appeared in print form. These publications constituted the earliest legal precedents of the common law. They are extant in a continuous series from 1268 to 1535, covering the reigns of King Edward I to Henry VIII. The language of the original manuscripts and editions was either Latin or Law French.
Edward I (17/18 June 1239 – 7 July 1307), also known as Edward Longshanks and the Hammer of the Scots (Latin: ""Malleus Scotorum"" ), was King of England from 1272 to 1307. He spent much of his reign reforming royal administration and common law. Through an extensive legal inquiry, Edward investigated the tenure of various feudal liberties, while the law was reformed through a series of statutes regulating criminal and property law. Increasingly, however, Edward's attention was drawn towards military affairs.",King Edward I,Edward Longshanks
5ac2da27554299657fa2909f,Which town was home to a forward for the Western New York Flash? ,Oyster Bay,"Victoria Teresa DiMartino (born September 4, 1991) is an American soccer player from Massapequa, New York. She is a forward for the Western New York Flash in the National Women's Soccer League, and a defender for the United States U-20 women's national soccer team.
Massapequa ( , ) is a hamlet and census-designated place (CDP) in the southern part of the Town of Oyster Bay in southeastern Nassau County, New York, on Long Island, east of New York City. It is adjacent to Amityville in Suffolk County. As of the 2010 census, the CDP had a total population of 21,685.",I'm not aware of any information about a forward for the Western New,Oyster Bay.
5abbd34d5542993f40c73bc6,The Innviertel is a traditional Austrian region southeast of a river that is how many km long?,517 km,"The Innviertel (literally German for ""Inn quarter"") is a traditional Austrian region southeast of the Inn river. It forms the western part of the state of Upper Austria and borders the German state of Bavaria. The Innviertel is one of the four traditional ""quarters"" of Upper Austria, the others being Hausruckviertel, Mühlviertel, and Traunviertel.
The Inn (Latin: ""Aenus"" ; Romansh: ""En"" ) is a river in Switzerland, Austria and Germany. It is a right tributary of the Danube and is 517 km long. The highest point of its drainage basin is the summit of Piz Bernina, at 4049 m . The Engadine, the valley of the En, is the only Swiss valley from which its waters ends in the Black Sea (via the Danube).","The Inn is 1,230 km long.",The Inn river is 517 km long.
5a83316b5542993344745fe5,What is the name of the show that the man that was drafted eighth overall in the 1995 NFL Draft co-hosts?,College Football Scoreboard,"ESPN College Football Friday Primetime is a live game presentation of Division 1-A college football on ESPN or sometimes ESPN2. There is no main sponsor. The game telecast airs every Friday night at 7:45pm ET during the college football regular season. In 2017, the games will be announced by Adam Amin and Dusty Dvoracek. The game is preceded by a 5-10 minute long segment of ""College Football Scoreboard"" with Adnan Virk, Danny Kanell and Joey Galloway. They both also present the halftime report.
Joseph Scott Galloway (born November 20, 1971) is a former American football wide receiver in the National Football League and current college football analyst with ESPN. He was drafted by the Seattle Seahawks eighth overall in the 1995 NFL Draft and also played for the Dallas Cowboys, Tampa Bay Buccaneers, New England Patriots, Pittsburgh Steelers and Washington Redskins. He played college football at Ohio State.",Howie Long,"""College Football Scoreboard"""
5abaf6865542996cc5e49f3c,"What role did Thomas Doherty play in sitcom based on the Israeli series ""North Star""?",Sean,"Thomas Doherty (born April 21, 1995) is a Scottish actor, best known for his roles as Harry Hook in Disney's ""Descendants 2"" and as Sean in the British musical drama sitcom, ""The Lodge"". In 2017, it was announced that Doherty would play the role of Zander in Michael Damian's film, High Strung: Free Dance.
The Lodge is a British musical drama sitcom that premiered in the United Kingdom on Disney Channel on 23 September 2016 and in the United States on Disney Channel on 17 October 2016. The series is based on the Israeli series ""North Star"" and stars Sophie Simnett, Luke Newton, Thomas Doherty, Bethan Wright, Jayden Revri, Jade Alleyne, Joshua Sinclair-Evans, and Mia Jenkins.",I couldn't find any information about Thomas Doherty playing a role,Sean in The Lodge.
5a711ef85542994082a3e5ac,"Which hospital, the Psychiatric Institute of Washington or Howard University Hospital, is known for serving the African American community including former slaves?",Howard University Hospital,"Howard University Hospital, previously known as Freedmen's Hospital, is a major hospital lcated in Washington, D.C., built on the site of the previous Griffith Stadium. The hospital has served the African American community in the area for over 150 years, having been established in 1862 to cater for the medical needs of the thousands of African Americans who came to Washington during the Civil War, seeking their freedom. The first hospital of its kind to provide medical treatment for former slaves, it later became the major hospital for the area's African-American community. Following the closure of D.C. General Hospital, As of 2016, the hospital has the highest rate of wrongful death lawsuits of any health facility in Washington D.C. over the previous decade.
The Psychiatric Institute of Washington (PIW) is an acute (104 bed) psychiatric hospital in Washington, D.C. Opened in 1967, PIW is a short-term, private hospital. It offers behavioral healthcare to patients suffering from mental and addictive illnesses, including children, adolescents, adults and the elderly. Services offered by PIW include inpatient, partial and intensive outpatient hospitalization, and group treatment programs for substance abuse and addiction.",Psychiatric Institute of Washington,Howard University Hospital.
5a7a2dac5542990198eaf0b6,"Who is younger, Keisuke Kuwata or Moya Brennan?",Keisuke Kuwata,"Moya Brennan, born Máire Ní Bhraonáin (] ), also known as Máire Brennan (born 4 August 1952), is an Irish folk singer, songwriter, harpist, and philanthropist. She is the older sister of Enya and Brídín Brennan. She began performing professionally in 1970 when her family formed the band Clannad, and is considered as the ""First Lady of Celtic Music"". Moya released her first solo album in 1992 called ""Máire"", a successful venture. She has been nominated for two Grammys and has won an Emmy Award. She has recorded music for several soundtracks, including ""Titanic"", ""To End All Wars"" and ""King Arthur"".
Keisuke Kuwata (桑田 佳祐 , Kuwata Keisuke , born February 26, 1956) is a Japanese multi-instrumentalist, singer-songwriter, and frontman for the Southern All Stars, as well of his own solo band, the Kuwata band. He has also done significant amount of scoring music for films. He went to Aoyama Gakuin University.",I couldn't find any information on Keisuke Kuwata or,Moya Brennan is younger.
5abf1a6b5542997ec76fd3c1,From which alphabet was this alphabet derived that the name of the club Ilysiakos B.C. has the starting letter of?,Phoenician alphabet,"The Greek alphabet has been used to write the Greek language since the late 9th century BC or early 8th century BC. It was derived from the earlier Phoenician alphabet, and was the first alphabetic script to have distinct letters for vowels as well as consonants. It is the ancestor of the Latin and Cyrillic scripts. Apart from its use in writing the Greek language, in both its ancient and its modern forms, the Greek alphabet today also serves as a source of technical symbols and labels in many domains of mathematics, science and other fields.
Ilysiakos B.C. (Greek: Ηλυσιακός Κ.Α.Ε.) is a Greek professional basketball team that is located in the Ilisia neighborhood of Zografou, Athens, Greece. The club's name is said to be a reference to Elysium, which is why the club's name and logo beings with a Greek alphabet Η, instead of an Ι, even though the name of Ilissia, where the club is based, begins with an Ι in Greek. However, when the name is translated into the English alphabet, the H becomes an I.",Greek alphabet,The Phoenician alphabet.
5a84a4e35542992a431d1a81,"Does Jimmy Barnes have more hits, both solo and in a group, than Yang Seung-ho has with his group?",yes,"James Dixon Swan {'1': "", '2': "", '3': "", '4': ""} (born 28 April 1956), better known as Jimmy Barnes, is a Scottish-Australian rock singer-songwriter. His career both as a solo performer and as the lead vocalist with the rock band Cold Chisel has made him one of the most popular and best-selling Australian music artists of all time. The combination of 14 Australian Top 40 albums for Cold Chisel and 13 charting solo albums, including nine No. 1s, gives Barnes the highest number of hit albums of any Australian artist.
Yang Seung-ho (양승호; born October 16, 1987), is a South Korean idol singer, dancer, actor, model and the leader of Korean male group MBLAQ, currently active in South Korea under Will Entertainment.",I couldn't find information on Yang Seung-ho's group.,Jimmy Barnes has 14 + 9 = 23 hits. Yang
5a88c4175542997e5c09a6ae,What is the real name of the clock one can see on a clear day from Denmark Hill?,Great Bell of the clock,"Denmark Hill is an area and road in Camberwell, in the London Borough of Southwark. The road forms part of the A215; north of Camberwell Green it becomes Camberwell Road; south of Red Post Hill it becomes Herne Hill. Its postcode is SE5. Nearby streets whose names refer to different aspects of the same topographical feature include Dog Kennel Hill, Champion Hill and Red Post Hill. It marks the edge of the Thames valley plain in this area — from here to the river the land is flat. There are good views across central London from vantage points (e.g. top storey windows) on the top of the hill to the north and neighbouring Dulwich to the south. On a clear day one can read the time on the Big Ben clockface.
Big Ben is the nickname for the Great Bell of the clock at the north end of the Palace of Westminster in London and is usually extended to refer to both the clock and the clock tower as well. The tower is officially known as Elizabeth Tower, renamed to celebrate the Diamond Jubilee of Elizabeth II in 2012; previously, it was known simply as the Clock Tower.",The clock is Big Ben.,The Big Ben clock.
